AdultBodyMass,DietBreadth,Diet_Invertebrates,Diet_Vertebrates,Diet_Fruits,Diet_Flowers,Diet_Seeds,Diet_Plants,Diet_Other,TrophicLevel,ActivityCycle,ForagingStratum,MigratoryStatus,IncubationTime,ClutchSize,EggLength,EggWidth,EggMass,NestingHabit,MaxLongevity,Montane
379.5,5.0,yes,yes,yes,no,yes,yes,no,2.0,3.0,1.0,yes,23.5,4.0,60.3,42.05,55.5,terrestrial,290.4,1
61.3,2.0,yes,no,no,no,yes,no,no,2.0,3.0,1.0,no,14.5,4.0,25.25,19.0,nan,terrestrial,nan,1
1081.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,27.5,3.5,nan,nan,50.0,arboreal,nan,0
2166.5,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,30.0,2.5,nan,nan,77.0,arboreal,229.2,0
173.0,1.0,no,no,yes,no,no,no,no,1.0,3.0,3.0,no,nan,1.0,nan,nan,nan,arboreal,nan,1
167.0,3.0,yes,no,yes,no,yes,no,no,2.0,3.0,1.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
40.6,2.0,yes,no,no,no,yes,no,no,2.0,3.0,1.0,yes,14.5,2.0,nan,nan,2.7,arboreal,nan,0
235.5,1.0,no,no,yes,no,no,no,no,1.0,3.0,3.0,no,13.5,2.0,35.0,25.65,14.7,arboreal,nan,1
19.5,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,nan,4.0,nan,nan,nan,terrestrial,nan,1
17.9,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,nan,4.5,nan,nan,2.45,terrestrial,nan,1
79.0,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,2.0,nan,nan,nan,terrestrial,nan,1
91.5,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,nan,3.0,34.9,28.1,nan,terrestrial,nan,1
185.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,24.0,1.5,nan,nan,nan,arboreal,nan,1
155.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,18.0,1.0,55.0,30.0,nan,terrestrial,nan,0
226.0,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,3.0,28.0,25.0,nan,terrestrial,nan,0
110.0,4.0,yes,yes,yes,no,yes,no,no,2.0,3.0,4.0,yes,nan,2.5,nan,nan,15.0,arboreal,nan,1
38.5,1.0,yes,no,no,no,no,no,no,3.0,3.0,4.0,yes,21.0,5.0,nan,nan,6.2,terrestrial,nan,1
170.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,15.0,2.5,33.0,26.0,10.2,terrestrial,nan,1
244.0,5.0,yes,yes,yes,yes,no,yes,no,2.0,3.0,3.0,no,13.0,1.0,37.1,28.5,nan,arboreal,nan,1
147.0,5.0,yes,yes,yes,yes,yes,no,no,2.0,3.0,3.0,no,14.0,2.0,34.25,27.0,11.35,arboreal,nan,1
110.0,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,2.0,34.0,23.0,nan,arboreal,nan,0
424.0,2.0,yes,no,no,no,yes,no,no,2.0,3.0,1.0,no,nan,3.0,43.5,32.0,nan,arboreal,nan,0
182.0,2.0,yes,no,yes,no,no,no,no,2.0,nan,nan,no,nan,nan,nan,nan,nan,<NA>,nan,0
149.5,1.0,yes,no,no,no,no,no,no,3.0,nan,nan,no,nan,nan,nan,nan,nan,<NA>,nan,0
153.0,4.0,yes,yes,yes,no,yes,no,no,2.0,3.0,1.0,no,nan,2.0,36.0,28.0,nan,arboreal,nan,1
180.0,3.0,yes,no,yes,yes,no,no,no,2.0,3.0,1.0,no,nan,2.0,29.4,27.5,nan,arboreal,nan,0
293.0,3.0,yes,no,yes,no,yes,no,no,2.0,3.0,1.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
99.0,3.0,yes,yes,yes,no,no,no,no,2.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,0
62.7,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,yes,nan,nan,18.0,13.5,2.43,parasitic,nan,1
103.5,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,13.0,1.1,24.0,17.0,2.2,parasitic,nan,0
160.0,2.0,yes,no,yes,no,no,no,no,2.0,3.0,1.0,no,nan,2.0,33.5,223.0,nan,arboreal,nan,1
250.0,2.0,yes,yes,no,no,no,no,no,3.0,2.0,4.0,yes,28.0,2.5,40.2,31.2,22.0,terrestrial,nan,1
390.0,2.0,yes,yes,no,no,no,no,no,3.0,2.0,4.0,yes,30.5,2.5,42.2,33.1,26.0,terrestrial,134.4,1
125.0,2.0,yes,yes,no,no,no,no,no,3.0,2.0,1.0,no,28.0,4.5,36.2,28.95,14.3,arboreal,nan,1
697.5,2.0,yes,yes,no,no,no,no,no,3.0,2.0,1.0,yes,30.25,3.06,nan,nan,48.0,none,300.0,1
174.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,4.0,no,29.0,2.0,40.55,32.4,25.25,arboreal,nan,1
