AdultBodyMass,CranialCapacity,Diet_Invertebrates,Diet_Vertebrates,Diet_Fruits,Diet_Flowers,Diet_Seeds,Diet_Plants,Diet_Other,HabitatBreadth,ActivityCycle,ForagingStratum,GestationLength,LitterSize,InterbirthInterval,HomeRange,PopulationDensity,SocialGrpSize,Longevity,Dry,Humid,Montane,Subarid,Subhumid
629.0,,no,no,no,no,no,yes,no,1.0,1.0,3.0,130.0,1.0,,0.003,,1.0,,0,0,0,1,0
920.0,,no,no,no,no,no,yes,no,1.0,1.0,3.0,,,,,,,,1,0,0,0,0
810.0,7.4,no,no,no,no,no,yes,no,1.0,1.0,3.0,137.31,1.01,365.0,0.01,260.0,1.0,144.0,1,0,0,1,0
686.79,,no,no,no,no,no,yes,no,1.0,1.0,3.0,,,,,,,,1,0,0,0,0
876.0,,-999,-999,-999,-999,-999,-999,-999,,1.0,3.0,,,,,,,,0,1,0,0,0
952.0,,no,no,no,no,no,yes,no,,1.0,3.0,,,,,,,,0,1,1,0,1
580.0,,no,no,no,no,no,yes,no,1.0,1.0,3.0,135.0,1.0,365.0,0.007,154.26,1.0,144.0,1,0,0,0,0
877.5,,no,no,no,no,no,yes,no,,1.0,3.0,,,,,,,,0,0,0,0,1
1050.0,,no,no,no,no,no,yes,no,,1.0,3.0,,,,,,,,0,0,0,0,1
78.6,,yes,yes,no,no,no,no,no,2.0,1.0,1.0,,2.73,,,,,,0,1,1,0,1
28.45,,yes,yes,yes,no,yes,yes,no,2.0,1.0,1.0,24.0,2.5,,,,2.0,,1,1,0,1,1
56.5,,yes,yes,yes,no,yes,yes,no,3.0,1.0,1.0,,,,,,1.0,,1,0,0,0,0
105.0,,yes,yes,no,no,no,no,no,1.0,,1.0,,,,,,,,0,0,0,1,0
49.7,,-999,-999,-999,-999,-999,-999,-999,1.0,1.0,3.0,,,,,,,,1,1,0,0,1
27.57,,yes,yes,yes,yes,no,yes,no,1.0,1.0,3.0,60.83,2.0,365.0,0.037,65.0,1.0,,1,0,0,1,0
53.76,,yes,yes,yes,yes,no,yes,no,1.0,1.0,3.0,,,,,,,,1,0,0,0,0
62.8,,yes,yes,yes,yes,no,yes,no,,1.0,3.0,,,,,,,,1,0,0,0,0
68.14,,-999,-999,-999,-999,-999,-999,-999,,1.0,3.0,,,,,,,,0,1,0,0,0
52.1,,yes,yes,yes,yes,no,yes,no,,1.0,3.0,52.0,3.0,218.85,,,,218.4,0,1,0,1,1
61.3,,yes,yes,yes,yes,no,yes,no,1.0,1.0,3.0,,,,,,,,0,1,0,0,0
42.3,,yes,yes,yes,yes,no,yes,no,1.0,1.0,3.0,,,,,110.0,1.0,,0,1,0,0,1
53.67,,-999,-999,-999,-999,-999,-999,-999,1.0,1.0,3.0,,,,,,,,0,1,0,0,0
60.04,,yes,yes,yes,yes,no,yes,no,1.0,1.0,3.0,,,,,,,,0,0,0,0,1
41.0,,-999,-999,-999,-999,-999,-999,-999,,1.0,3.0,,,,,,,,1,0,1,0,1
55.76,,-999,-999,-999,-999,-999,-999,-999,,1.0,3.0,,,,,,,,0,1,0,0,0
44.59,,yes,yes,yes,yes,no,yes,no,1.0,1.0,3.0,,,,,,,,0,1,0,0,1
60.32,1.8,yes,yes,yes,yes,no,yes,no,1.0,1.0,3.0,60.97,2.0,219.0,0.01,461.0,1.0,202.2,1,1,0,1,1
47.12,,yes,yes,yes,yes,no,yes,no,1.0,1.0,3.0,58.0,2.0,218.85,,,1.0,218.4,1,0,0,0,0
63.14,,yes,yes,yes,yes,no,yes,no,1.0,1.0,3.0,60.0,2.0,,,,,,1,0,0,0,0
43.7,1.78,yes,yes,yes,yes,no,yes,no,1.0,1.0,3.0,60.0,2.51,219.0,0.01,167.8,1.0,144.0,0,1,1,0,1
44.18,,yes,yes,yes,yes,no,yes,no,1.0,1.0,3.0,60.0,2.0,,,,,,1,0,0,0,1
64.8,,yes,yes,yes,yes,no,yes,no,1.0,1.0,3.0,,,,,,,,0,1,0,0,1
55.04,,yes,yes,yes,yes,no,yes,no,1.0,1.0,3.0,,2.0,,,,,,1,0,0,0,1
8.9,,yes,no,no,no,no,no,no,2.0,2.0,1.0,,4.5,,,,,,1,1,1,1,1
13.8,,yes,no,no,no,no,no,no,1.0,1.0,1.0,,5.0,,,,,13.0,1,1,1,1,1
36.0,,yes,no,no,no,no,no,no,1.0,1.0,1.0,61.32,2.67,,,,1.0,67.2,1,1,1,1,1
10.5,,yes,no,no,no,no,no,no,2.0,1.0,1.0,,6.0,,,,,13.0,1,1,1,1,1
40.0,,yes,no,no,no,no,no,no,1.0,1.0,1.0,91.25,6.0,243.33,,,1.0,,0,1,0,0,1
9.4,,yes,no,no,no,no,no,no,1.0,1.0,1.0,,6.0,,,,,,1,1,1,1,1
23.3,,yes,no,no,no,no,no,no,1.0,1.0,1.0,,6.0,,56.0,,1.0,,0,1,1,1,1
8.85,,-999,-999,-999,-999,-999,-999,-999,1.0,1.0,1.0,,,,,,,,1,0,0,1,1
18.2,,yes,no,no,no,no,no,no,1.0,1.0,1.0,,6.0,,,,,,0,1,1,1,1
5.1,,yes,no,no,no,no,no,no,1.0,1.0,1.0,,,,,,,,0,0,0,1,0
9.0,,yes,no,no,no,no,no,no,1.0,1.0,1.0,,,,,,,,0,1,0,0,1
5.65,,yes,no,no,no,no,no,no,2.0,2.0,1.0,,6.0,,,,,,1,1,0,0,1
,,yes,no,no,no,no,no,no,2.0,1.0,1.0,,,,,,,,1,1,1,1,1
13.9,,yes,no,no,no,no,no,no,1.0,1.0,1.0,,6.0,,,,,,0,1,1,0,1
14.0,,yes,no,no,no,no,no,no,2.0,1.0,1.0,,2.5,,,,,,0,1,0,1,1
3.2,,yes,no,no,no,no,no,no,2.0,1.0,1.0,,6.0,,,,,,1,1,1,1,1
10.2,,yes,no,no,no,no,no,no,1.0,1.0,1.0,,6.0,,,,,,0,1,1,1,1
3.5,,yes,no,no,no,no,no,no,2.0,1.0,1.0,,6.0,,,,,,0,1,1,1,1
18.0,,yes,no,no,no,no,no,no,1.0,1.0,1.0,,6.0,,,,,,1,1,1,1,1
11.8,,yes,no,no,no,no,no,no,1.0,1.0,1.0,,6.0,,,,,13.0,0,1,1,1,1
52.5,,yes,no,no,no,no,no,no,2.0,1.0,1.0,60.62,2.12,,,,,69.8,1,1,1,1,1
22.9,,yes,no,no,no,no,no,no,1.0,1.0,1.0,,2.0,,,,,34.9,0,1,1,1,1
3.6,,yes,no,no,no,no,no,no,,,,,,,,,,,1,0,0,1,0
13.2,,yes,no,no,no,no,no,no,1.0,1.0,4.0,,,,,,90.0,,1,1,1,1,1
4.6,,yes,no,no,no,no,no,no,,,,,,,,,,,1,1,0,0,1
4.3,,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,1,1,0,0,1
5.7,,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,0,1,0,0,1
13.6,,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,0,0,0,1,0
4.9,,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,0,1,0,1,1
9.7,,yes,no,no,no,no,no,no,1.0,1.0,4.0,113.44,1.0,364.75,,,,264.0,1,1,1,1,1
6.4,,yes,no,no,no,no,no,no,1.0,1.0,4.0,,,,,,,,1,1,1,1,1
6.3,,yes,no,no,no,no,no,no,1.0,,,,,,,,,,0,1,0,1,1
7.9,,yes,no,no,no,no,no,no,1.0,,,,,,,,,,0,1,1,1,1
309.0,5.8,yes,yes,yes,no,yes,yes,no,1.0,1.0,3.0,89.92,1.76,365.0,0.03,107.17,1.0,196.2,1,0,0,1,1
290.0,,yes,yes,yes,yes,no,yes,yes,1.0,1.0,3.0,,,,,735.5,1.0,,1,0,0,0,1
22.6,,yes,yes,yes,no,yes,yes,no,1.0,1.0,2.0,,4.0,,,,,,0,1,1,1,1
21.0,,yes,no,no,no,no,no,no,1.0,1.0,4.0,88.64,1.0,,,,,,1,1,1,1,1
45.2,,yes,no,no,no,no,no,no,1.0,1.0,4.0,45.5,1.22,,,600.0,,156.0,1,1,0,1,1
11.0,,yes,no,no,no,no,no,no,1.0,1.0,4.0,,,,,,,,1,1,1,1,1
650.0,,yes,yes,no,no,no,no,no,2.0,3.0,1.0,99.17,1.0,365.0,1.19,7.33,5.5,168.0,1,0,0,1,0
6.0,,yes,no,no,no,no,no,no,1.0,1.0,4.0,,,,,,,,1,1,1,1,1
